date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:41:34	2323/2323	---M-Z	200	added ('OK')	text/xml	date:Wed,%2001%20May%202019%2010:41:32%20GMT	http://localhost:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8081%2F%3Fpage_id%3D739&format=xml	localhost_8081/index4c6f.php	(from http://localhost:8081/?page_id=739)
03:41:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20May%202019%2010:41:35%20GMT	http://localhost:8081/?p=872	localhost_8081/index6239.html	(from http://localhost:8081/?page_id=872)
03:41:36	2206/2206	---M--	200	added ('OK')	application/json	date:Wed,%2001%20May%202019%2010:41:34%20GMT	http://localhost:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8081%2F%3Fpage_id%3D872	localhost_8081/index2613.json	(from http://localhost:8081/?page_id=872)
03:41:38	2303/2303	---M-Z	200	added ('OK')	text/xml	date:Wed,%2001%20May%202019%2010:41:36%20GMT	http://localhost:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8081%2F%3Fpage_id%3D872&format=xml	localhost_8081/index55c9.php	(from http://localhost:8081/?page_id=872)
03:41:38	727965/727965	---M--	200	added ('OK')	image/jpeg	etag:%22b1b9d-58795ff917420%22	http://localhost:8081/wp-content/uploads/2016/12/13-2.jpg	localhost_8081/wp-content/uploads/2016/12/13-2.jpg	(from http://localhost:8081/?page_id=1048)
03:41:40	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20May%202019%2010:41:39%20GMT	http://localhost:8081/?p=63	localhost_8081/index2cce.html	(from http://localhost:8081/?page_id=314)
03:41:42	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20May%202019%2010:41:41%20GMT	http://localhost:8081/?p=425	localhost_8081/index27ac.html	(from http://localhost:8081/?page_id=314)
03:42:17	219519/219519	---M--	200	added ('OK')	image/jpeg	etag:%223597f-58795fbae34c1%22	http://localhost:8081/wp-content/uploads/2017/10/19-2.jpg	localhost_8081/wp-content/uploads/2017/10/19-2.jpg	(from http://localhost:8081/?page_id=314)
03:42:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20May%202019%2010:42:17%20GMT	http://localhost:8081/?p=944	localhost_8081/index2a95.html	(from http://localhost:8081/?page_id=314)
03:42:20	2211/2211	---M--	200	added ('OK')	application/json	date:Wed,%2001%20May%202019%2010:42:18%20GMT	http://localhost:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8081%2F%3Fpage_id%3D1625	localhost_8081/index4af9.json	(from http://localhost:8081/?page_id=1625)
03:42:20	222999/222999	---M--	200	added ('OK')	image/jpeg	etag:%2236717-58795fa80df75%22	http://localhost:8081/wp-content/uploads/2017/10/4-2.jpg	localhost_8081/wp-content/uploads/2017/10/4-2.jpg	(from http://localhost:8081/?page_id=314)
03:42:22	2308/2308	---M-Z	200	added ('OK')	text/xml	date:Wed,%2001%20May%202019%2010:42:20%20GMT	http://localhost:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8081%2F%3Fpage_id%3D1625&format=xml	localhost_8081/index66b7.php	(from http://localhost:8081/?page_id=1625)
